"statelevel.rownum","sstate.initnum","sstate","sstatename","ideology","professional.index","professional.cat","salary","totalday","staffper","citizen.init","year.adoption","consitutional.init","signature","usage","legislative.insulation","p.evang","p.mormon","p.cath","p.metroarea","adjinc.cap","pblack","phisp","p65over","phighsch","pbachelors","demcontrol","pdemocrat","polarization","divided","kerry.04","gore.00","clinton.92","mondale.84","dukakis.88","humphrey.68","mcgovern.72","population","court.type","court.elected","berry.citizen","berry.government","Bryan.1896","tempculture","state.culture"
"32",32,"NJ","New Jersey",-3.40000009536743,0.244000002741814,3,40090.91015625,81.2699966430664,11.6800003051758,0,NA,0,NA,NA,NA,2.41000008583069,0.236089497804642,40.3699989318848,100,37649.21875,13.6000003814697,13.3000001907349,13.1999998092651,87.3000030517578,30.1000003814697,23,43.7999992370605,38.7999992370605,11.1111097335815,52.9000015258789,56.0999984741211,51.4186515808105,39.2000007629395,43.0999984741211,48.8172073364258,37.3920745849609,8429007,"AP",0,61.3032684326172,56.238899230957,36.0200004577637,"Individualistic","I"
"33",33,"NM","New Mexico",-16,0.108999997377396,1,8539.3896484375,83.6399993896484,0.400000005960464,0,NA,0,NA,NA,NA,13.0500001907349,2.32254004478455,36.8199996948242,56.9000015258789,21837.189453125,1.89999997615814,42.0999984741211,11.6999998092651,82.1999969482422,23.6000003814697,38,61.6100006103516,36.2999992370605,66.6666717529297,49.0999984741211,47.9000015258789,55.1417617797852,39.2299995422363,47.5,43.3931694030762,37.4536094665527,1821282,"PE",1,48.7702217102051,64.0452270507812,NA,"Individual/Traditional","IT"
"34",34,"NV","Nevada",-0.200000002980232,0.137999996542931,1,11226.26953125,139.440002441406,2.61999988555908,1,1912,1,10,39,5,5.32999992370605,5.79574298858643,16.4400005340576,87.5,29695.849609375,6.80000019073486,19.7000007629395,11,82.8000030517578,19.2999992370605,0,51.8699989318848,33.2999992370605,88.8888931274414,47.9000015258789,46,51.8241081237793,31.9699993133545,39.2000007629395,45.2947273254395,36.319221496582,2018723,"NPE",1,46.6794891357422,49.0467491149902,81.1500015258789,"Individualistic","I"
"35",35,"NY","New York",-3.09999990463257,0.481000006198883,3,72854.6328125,420,16.4500007629395,0,NA,0,NA,NA,NA,2.94000005722046,0.236975193023682,39.7599983215332,92.0999984741211,35015.83984375,15.8999996185303,15.1000003814697,12.8999996185303,82.5,28.7000007629395,0,54.2000007629395,41.2000007629395,88.8888931274414,58.4000015258789,60.2000007629395,59.4785308837891,45.8300018310547,52.0999984741211,52.900993347168,41.3093643188477,18989332,"AP",0,67.5852584838867,54.8521690368652,38.7200012207031,"Moral/Individual","MI"
"36",36,"OH","Ohio",-10.1000003814697,0.303999990224838,3,45430.859375,195.449996948242,4.17999982833862,1,1912,1,3,65,6,9.9399995803833,0.341550588607788,19.6499996185303,81.1999969482422,28202.3203125,11.5,1.89999997615814,13.3000001907349,87,24.6000003814697,0,39.4799995422363,38.2000007629395,11.1111097335815,48.7000007629395,46.4000015258789,51.1651611328125,40.1399993896484,44.5999984741211,48.7050628662109,38.9652481079102,11359955,"NPE",1,48.9834899902344,20.6846103668213,47.0699996948242,"Individualistic","I"
"37",37,"OK","Oklahoma",-27.2999992370605,0.187000006437302,2,39739.44921875,142.550003051758,1.64999997615814,1,1907,1,8,83,4,41.4599990844727,0.712372422218323,4.88000011444092,60.7999992370605,24045.509765625,7.59999990463257,5.19999980926514,13.1999998092651,86.0999984741211,22.5,31,62.9300003051758,27.6000003814697,11.1111097335815,34.4000015258789,38.4000015258789,44.3719787597656,30.6700000762939,41.5999984741211,40.1485328674316,24.5630970001221,3453250,"RE",1,27.6103401184082,38.6257095336914,NA,"Individual/Traditional","IT"
"38",38,"OR","Oregon",-7.90000009536743,0.158999994397163,2,24835.689453125,183.229995727539,2.75,1,1902,1,6,318,3,11.3400001525879,3.04144310951233,10.1499996185303,73.0999984741211,27820.810546875,1.60000002384186,8,12.8000001907349,88.0999984741211,27.2000007629395,0,45.3199996948242,42.7000007629395,100,51.4000015258789,47,56.6324501037598,43.7400016784668,52.4000015258789,46.7700347900391,44.6599349975586,3429293,"NPE",1,60.4845809936523,67.4226379394531,56.9599990844727,"Moralistic","M"
"39",39,"PA","Pennsylvania",-10.6000003814697,0.33899998664856,3,71391.453125,178.179992675781,10.3500003814697,0,NA,0,NA,NA,NA,5.73000001907349,0.252389788627625,30.9599990844727,84.5999984741211,29713.060546875,10,3.20000004768372,15.6000003814697,85.6999969482422,24.2999992370605,8,45.5200004577637,34.4000015258789,33.3333320617676,50.9000015258789,50.5999984741211,55.5487213134766,45.9900016784668,48.7999992370605,51.9472236633301,39.8307037353516,12282591,"PE",1,53.7612380981445,45.4938201904297,36.2700004577637,"Individualistic","I"
"40",40,"RI","Rhode Island",-2.09999990463257,0.133000001311302,1,9715.58984375,138.360000610352,1.36000001430511,0,NA,0,NA,NA,NA,1.62000000476837,0.218998402357101,51.6300010681152,94.0999984741211,29257.98046875,4.5,8.69999980926514,14.5,81.3000030517578,26.3999996185303,15,83.5400009155273,37.9000015258789,100,59.4000015258789,61,61.8459091186523,48.0200004577637,55.9000015258789,66.8293228149414,46.899242401123,1050236,"AP",0,74.1864166259766,74.7598037719727,26.3899993896484,"Moral/Individual","MI"
"41",41,"SC","South Carolina",-21.3999996185303,0.123999997973442,2,19148,137.089996337891,1.5900000333786,0,NA,0,NA,NA,NA,29.3199996948242,0.507029116153717,3.40000009536743,70,24272.619140625,29.5,2.40000009536743,12.1000003814697,83,19,0,49.8800010681152,29.2000007629395,77.7777786254883,40.9000015258789,40.9000015258789,45.3697395324707,35.5699996948242,37.9000015258789,43.7353286743164,28.1417407989502,4023438,"AP",0,43.8449096679688,36.2477607727051,85.2900009155273,"Tradistionalistic","T"
"42",42,"SD","South Dakota",-24.1000003814697,0.0640000030398369,1,9989.08984375,76.2699966430664,0.600000023841858,1,1898,1,5,48,4,13.8000001907349,0.794166624546051,24.0100002288818,34.5999984741211,25822.69921875,0.600000023841858,1.39999997615814,14.3000001907349,91.8000030517578,25.7000007629395,0,35.4199981689453,25.1000003814697,11.1111097335815,38.4000015258789,37.5999984741211,47.7377891540527,36.5299987792969,47.7999992370605,44.0607948303223,45.670825958252,755509,"RE",1,47.5741882324219,13.08078956604,49.7000007629395,"Moral/Individual","MI"
"43",43,"TN","Tennessee",-16.6000003814697,0.11599999666214,2,23238.91015625,89.4499969482422,1.57000005245209,0,NA,0,NA,NA,NA,36.8699989318848,0.420902997255325,3.21000003814697,67.9000015258789,26366.83984375,16.3999996185303,2.20000004768372,12.3999996185303,79.9000015258789,22,31,56.560001373291,26.6000003814697,77.7777786254883,42.5,47.2999992370605,52.5974807739258,41.5699996948242,41.7999992370605,42.6344184875488,30.5263843536377,5702027,"RE",1,40.1970901489258,50.1997604370117,52.0900001525879,"Tradistionalistic","T"
"44",44,"TX","Texas",-23.2000007629395,0.199000000953674,2,19621.650390625,162.509994506836,10.6499996185303,0,NA,0,NA,NA,NA,24.2700004577637,0.742367327213287,20.8600006103516,84.8000030517578,28034.650390625,11.5,32,9.89999961853027,79.1999969482422,23.8999996185303,15,50.4700012207031,33.9000015258789,77.7777786254883,38.2000007629395,38,47.7588882446289,36.1100006103516,43.7000007629395,50.780876159668,33.4267959594727,20946503,"PE",1,39.3937797546387,35.2950401306152,68.4400024414062,"Individual/Traditional","IT"
